scheme,pulse_id,type,mask_size,zeros_enforced,spectral_subtraction,mag_mae,phase_mae,unified_mae,mag_diff,phase_diff,unified_diff
shg-frog,9,unmasked,0.0,False,False,0.00492908030584208,0.05651959025381191,0.005755054134876718,0.0,0.0,0.0
shg-frog,9,unmasked,0.0,False,True,0.011114381233851688,0.18944412030501367,0.012623725447251474,0.0,0.0,0.0
shg-frog,9,unmasked,0.0,True,False,0.002586985574525787,0.0906662759153161,0.0033771923305894497,0.0,0.0,0.0
shg-frog,9,unmasked,0.0,True,True,0.00552734717718598,0.22437587906602754,0.007173787935649285,0.0,0.0,0.0
shg-frog,9,peak_energy,0.01,False,False,0.016650813218968847,0.9046054286159297,0.02319837611254614,0.011721732913126767,0.8480858383621178,0.017443321977669422
shg-frog,9,peak_energy,0.01,False,True,0.015970768827083773,0.862781171686709,0.022734183751797768,0.004856387593232085,0.6733370513816953,0.010110458304546294
shg-frog,9,peak_energy,0.05,False,False,0.012092431506984878,0.8136073863226694,0.01820856131578043,0.007163351201142799,0.7570877960688575,0.012453507180903713
shg-frog,9,peak_energy,0.05,False,True,0.014179348222049885,0.4058124718426863,0.01598827134541852,0.0030649669881981974,0.21636835153767264,0.0033645458981670442
shg-frog,9,peak_energy,0.1,False,False,0.007150582293760366,0.1955947531793018,0.008868392202936955,0.002221501987918286,0.13907516292548988,0.0031133380680602365
shg-frog,9,peak_energy,0.1,False,True,0.010404598864346271,0.40274439153012664,0.013744714866974993,-0.0007097823695054167,0.21330027122511297,0.0011209894197235191
thg-ifrog,0,unmasked,0.0,False,False,0.006004728887284792,0.1299833959958899,0.007976013617731722,0.0,0.0,0.0
thg-ifrog,0,unmasked,0.0,False,True,0.022408254262002665,0.5588546592073366,0.025292231061623385,0.0,0.0,0.0
thg-ifrog,0,unmasked,0.0,True,False,0.003913265930804119,0.14699158187401878,0.005963816718597633,0.0,0.0,0.0
thg-ifrog,0,unmasked,0.0,True,True,0.008702072612314038,0.32591664949176596,0.011647343240116754,0.0,0.0,0.0
thg-ifrog,0,peak_energy,0.01,False,False,0.013207183365320618,1.083582553101054,0.02479821502167863,0.007202454478035827,0.953599157105164,0.016822201403946906
thg-ifrog,0,peak_energy,0.01,False,True,0.013116895134198262,0.5719417584776272,0.01696767112533908,-0.009291359127804403,0.013087099270290614,-0.008324559936284306
thg-ifrog,0,peak_energy,0.05,False,False,0.014814074697831933,0.3749431463470968,0.01760230359616576,0.008809345810547141,0.2449597503512069,0.009626289978434037
thg-ifrog,0,peak_energy,0.05,False,True,0.013660842252901128,0.4355319928107398,0.01692966312561843,-0.008747412009101537,-0.12332266639659678,-0.008362567936004955
thg-ifrog,0,peak_energy,0.1,False,False,0.008164124503244908,0.3150212210664361,0.011315215698077707,0.002159395615960116,0.1850378250705462,0.0033392020803459845
thg-ifrog,0,peak_energy,0.1,False,True,0.010362067375433657,0.3034261450534547,0.013126808654276529,-0.012046186886569008,-0.25542851415388185,-0.012165422407346856
